commit,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
8d5a5ec9d4adb8f87083c7181d58371e8d56cbe1,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
933bc2527eaea15d71cd04ddc6025ff009a3ef01,4942,392,380,414,848,4452,"[259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
9a2bebee5df9dff794f9134c73c144b309fb0bb7,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
9a7c497efec53172fb2a3bd9536f0e7f7539afb8,4972,480,392,416,948,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
9b944f05f8f7e9f2b71477932581baed1148c74a,4972,480,394,416,950,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
9c83ef8c595033f7b001772b107de5b04562ea82,4942,392,378,414,846,4452,"[259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
a00f89dd63fee071fb83691dd038590bb06d9d30,4972,480,392,416,948,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
a051cc781dadc86ae4ff93892988ab713a36a60d,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
a332269d7b86482e88598831e25dd8bde67b57f2,4968,480,390,406,948,4484,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
a5624dd0609d272a420855b665106aeaf5825c79,4968,480,390,412,946,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
a58d07ebd8d96b84e19f4cbef96c64d93a91e04b,4972,480,392,416,948,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
a7329002281f87dc86442b8d1a5a2fe1136977ae,4968,480,390,410,948,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
a8f2aa27b347909db685847f36111977d99e792d,4968,480,390,410,948,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
a8f33a9671e4e5b656455a9b0ca6bdb909410f67,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
