commit,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
e5200fbaa1cfda6e416481ea4c350ace2cf90ff0,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
e9fea5c0407d924f8b3b10df02db8316dbd5e60f,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
eb71fc496f7e7dd42ac028c5e7cfdbd4f253466f,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
ed80d7accf5ab7bae65c9cb3578f0f8fc731f4db,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
ee9d954fce5d086b9aa72830f41f0c3d18c40a24,814,0,0,0,46,768,"[295, 78, 22, 502, 703]"
f043fc32d62117353963b85c093a3986501f2924,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
f36404ed927399744272e72487576abd27666baf,750,0,0,0,46,704,"[295, 78, 22, 502, 703]"
f39b033dc4d252c87da00526cd585eec14fb92ca,830,0,0,0,48,782,"[295, 78, 22, 502, 703]"
f4d1d15f7df340b64ea72dbcb46f44f9937ea7d0,832,0,0,0,48,784,"[295, 78, 22, 502, 703]"
f5066cf05488098f544cab6dc8daff84b2e305a2,750,0,0,0,46,704,"[295, 78, 22, 502, 703]"
f65e7b24c3dc26b67f109261e2f69fecad6c6587,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
fc636c0bead958e86c5fa3fd4aa03db75ab14cfe,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
fcf457e5f08419e440db880573357c272dacbdc1,848,0,0,0,52,796,"[295, 78, 22, 502, 703]"
fd6fddaf94672f9118ad83935ddccc01f365f56e,848,0,0,0,52,796,"[295, 78, 22, 502, 703]"
fed79be67e901ba48292e3b39f0ad537d31eba55,848,0,0,0,52,796,"[295, 78, 22, 502, 703]"
